# # x_m,y_m,w_tr_right_m,w_tr_left_m
-1.813449278173835637e+02,5.117166378808178706e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813424187933993608e+02,4.109566831582526447e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813398520824971456e+02,3.101691495541757604e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813372280316019669e+02,2.093565295331302423e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813345469876388734e+02,1.085213155596647994e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813318092975329989e+02,7.666000098319614153e-02,6.000000000000000000e+00,6.000000000000000000e+00
-1.813290153082093639e+02,-9.320692438635660437e-01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813261653665930453e+02,-1.940949654298066207e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813232598196090635e+02,-2.949956305674959367e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813202990141826092e+02,-3.959064273348758434e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813172832972386459e+02,-4.968248632673919474e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813142130157022507e+02,-5.977484459005097506e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813110885164985575e+02,-6.986746827696634909e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813079101465525582e+02,-7.996010814103215125e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813046782527893583e+02,-9.005251493579294220e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813013931821340066e+02,-1.001444394147952721e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812980552815116084e+02,-1.102356323315834175e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812946648978472126e+02,-1.203258444397022231e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812912223780659247e+02,-1.304148264926982392e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812877280690927364e+02,-1.405023292441163107e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812841823178527534e+02,-1.505881034475012825e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812805854712710243e+02,-1.606718998563991363e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812769378762726546e+02,-1.707534692243552854e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812732398797827216e+02,-1.808325623049140063e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812694918287262453e+02,-1.909089298516215649e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812656940700283030e+02,-2.009823226180233746e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812618469506140286e+02,-2.110524913576634276e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812579508174083855e+02,-2.211191868240888425e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812540060173365077e+02,-2.311821597708438958e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812500128973234723e+02,-2.412411609514740007e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812459718042942995e+02,-2.512959411195245707e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812418830851741518e+02,-2.613462510285410190e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812377470868879641e+02,-2.713918414320690431e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812335641563608988e+02,-2.814324630836529195e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812293346405180046e+02,-2.914678667368383458e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812250588862843301e+02,-3.014978031451718721e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812207372405849810e+02,-3.115220230621966380e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812163700503449490e+02,-3.215402772414594779e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812119576624893966e+02,-3.315523164365055209e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.812075004239433440e+02,-3.415578914008798961e+01,6.000000000000000000e+00,6.000000000000000000e+00
